Vector,92082300,62849700,54155000,70365600,55145100,59490700,55335800,54928300,60419000,60339000
LinkedList,106594500,59917400,62591600,60501200,61043700,69420800,78272900,58712300,69325400,61395000
ArrayList,78017700,74098500,63107500,81669300,114849000,106516400,130406300,61164600,65299700,54290500
HashSet,21400,19500,23700,22600,19200,23700,18700,24100,18300,20100
LinkedHashSet,23800,24000,27200,20600,30100,21600,30300,24200,20300,19700
HashTree,92700,47900,60400,48700,81300,49500,63400,63700,65100,56000
HashMap,21300,28900,15800,25800,21500,26700,25700,26400,17200,20800
LinkedHashMap,23200,21400,18100,24400,25300,27400,23200,25900,24400,18200
TreeMap,60600,44900,45400,46700,44100,68900,62200,64500,53500,41300
